,_index,_type,_id,_score,sort,redVarietal,isVQA,subCategory,consumerRating,featured,_isLimitedTimeOffer,regularPrice,isCraft,isDraft,promotionStartDate,whiteVarietal,tastingDescription,_promotionStartDate,_all_featured,promotionEndDate,isBCSpirit,sku,isLimitedTimeOffer,_featured,image,availableUnits,last_updated,subRegion,unitSize,upc,_blacklist,isDealcoholizedWine,volume,certificates,name,style,countryName,isBCCraft,region,statusCode,status,color,grapeType,isOrganic,storeCount,nameSuffix,alcoholPercentage,productCategory,isExclusive,all_featured,restrictionCode,productSubCategory,namePrefix,countryCode,isOntarioVQA,class,productType,isKosher,_whitelist,inventoryCode,currentPrice,sweetness,isNew,all_promotions,promotions,nameSanitized,isBCVQA,_promotionEndDate,votes,category,ribbons,isImageCacheFile,category_id,subCategory_id,class_id,totalVolume,totalPrice,totalAlcoholContent,alcoholCost,storePercent
10,bcls,product,90837,1.0,33 ACRES OF SUNSHINE BLANCHE,,,Domestic - BC Beer,3.7,[],,15.99,True,False,,,"Born of the sun this unfiltered wheat ale has long been praised by the Belgians and revered by the French. This dreamy Blanchè beer is silky smooth and subspiced with orange peel, coriander and anise seed to pair perfectly with the golden days of summer. Aroma: Fruity, orange peel, coriander, black liquorice. Flavour: Fruity, orange peel, coriander, black liquorice, sweet aftertaste.
",,[],,,90837,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/90837.jpeg,816,2024-07-29 12:10:01,,6,['00626990216353'],False,,0.33,[],33 ACRES OF SUNSHINE BLANCHE,Wheat,Canada,True,,2,2,,,False,73.0,33 ACRES OF SUNSHINE BLANCHE,0.05,Domestic Beer,False,[],SR,BC Craft Beer,,CA,,Domestic - BC Micro Brew Beer,,False,False,0,15.99,,False,,,33 acres of sunshine blanche,,,163,Beer,[],True,1000,1006,1133,1615.68,13047.84,0.099,161.5151515151515,0.3686868686868687
11,bcls,product,23859,1.0,33 ACRES OF SUNSHINE CAN,,,Domestic - BC Beer,3.7,[],,25.79,True,False,,,"Born of the sun this unfiltered wheat ale has long been praised by the Belgians and revered by the French. This dreamy Blanchè beer is silky smooth and subspiced with orange peel, coriander and anise seed to pair perfectly with the golden days of summer. Aroma: Fruity, orange peel, coriander, black liquorice. Flavour: Fruity, orange peel, coriander, black liquorice, sweet aftertaste.
",,['BCL Select'],,,23859,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/23859.jpeg,669,2024-07-29 12:10:01,,12,['00626990372486'],False,,0.355,[],33 ACRES OF SUNSHINE CAN,Wheat,Canada,True,,2,2,,,False,73.0,33 ACRES OF SUNSHINE CAN,0.05,Domestic Beer,True,['BCL Select'],C,BC Craft Beer,,CA,,Domestic - BC Micro Brew Beer,,False,False,0,25.79,,False,,,33 acres of sunshine can,,,106,Beer,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': 'ONLY@BCL', 'labelLengthWithoutTags': 8}]",True,1000,1006,1133,2849.94,17253.51,0.213,121.07981220657277,0.3686868686868687
12,bcls,product,418729,1.0,33 BREWING EXP. - 33B.EXP.005.MKII MEZCAL GOSE CAN,,,Domestic - BC Beer,3.8,[],,14.99,False,False,,,"A bracingly sour, bright, gose with Vancouver Island sea salt, fresh lime zest and juice. Conditioned on Mezcal oak to suggest warm, Oaxacan beaches and salt-rimmed cocktail glasses with tiny umbrellas.",,[],,,418729,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/418729.jpeg,612,2024-07-29 12:10:01,,6,['00626990456872'],False,,0.355,[],33 BREWING EXP. - 33B.EXP.005.MKII MEZCAL GOSE CAN,Sour,Canada,True,,2,2,,,False,77.0, 33B.EXP.005.MKII MEZCAL GOSE CAN,0.05,Domestic Beer,False,[],SR,BC Craft Beer,33 BREWING EXP. ,CA,,Domestic - BC Micro Brew Beer,,False,False,0,14.99,,False,,,33 brewing exp. - 33b.exp.005.mkii mezcal gose can,,,41,Beer,[],True,1000,1006,1133,1303.56,9173.880000000001,0.1065,140.7511737089202,0.3888888888888889
13,bcls,product,34465,1.0,40 KNOTS - ISLAND WHITE SEAS 2021,,,Canada - BC,3.9,[],,25.99,,,,Other Blend,"Cherry blossom, honey, and peach dance out of the glass and onto the palate with a complex finish of guava, elderflower, fig, and spice.
",,[],,,34465,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/34465.jpeg,305,2024-07-29 12:10:01,,1,['00626990271406'],False,,0.75,[],40 KNOTS - ISLAND WHITE SEAS 2021,,Canada,False,,2,2,WHITE,OTHER BLEND,False,36.0, ISLAND WHITE SEAS 2021,0.113,,False,[],ST,,40 KNOTS ,CA,,Canada - BC White Wine,White Wine,False,False,0,25.99,01,False,,,40 knots - island white seas 2021,,,16,Wine,[],True,1005,1028,1079,228.75,7926.95,0.08475,306.66666666666663,0.18181818181818182
14,bcls,product,77996,1.0,400 CONEJOS MEZCAL,,,Tequila,4.2,[],,51.99,,,,,"According to native Mesoamerican traditions, priests were the only ones who could establish a channel of communication with the gods. To achieve it, they practiced ritual drinking of beverages made from agave. The gods of the drinks were called collectively centzon-totochin (400 rabbits) in Nahuatl. The number 400 was synonymous with ""innumerable"" and ""uncountable"". It is believed that the spirit of the 400 rabbits carries on to this day in each bottle of this fine mezcal. Smooth, lightly smoky and easy to drink, 400 Conejos is perfect for those beginning their mezcal-drinking journey.",,[],,,77996,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/77996.jpeg,929,2024-07-29 12:10:01,,1,['00811538013628'],False,,0.75,[],400 CONEJOS MEZCAL,,Mexico,False,,2,2,,,False,80.0,400 CONEJOS MEZCAL,0.4,,False,[],SR,,,MX,,Mezcal,Tequila,False,False,0,51.99,,False,,,400 conejos mezcal,,,52,Spirits,[],True,1004,1022,1273,696.75,48298.71,0.30000000000000004,173.29999999999998,0.40404040404040403
15,bcls,product,319657,1.0,50TH PARALLEL ESTATE - RIESLING,,True,Canada - BC,3.5,[],True,24.99,,,2024-07-28T00:00:00.000-07:00,Riesling,"Intense stone fruit flavours of peach and nectarine, with hints of red apple and wet stone minerality. Crisp acidity on the palate with a citrus burst of lemon and lime flavours.
",2024-07-28T00:00:00.000-07:00,"['On Sale', 'BC VQA']",2024-08-31T00:00:00.000-07:00,,319657,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/319657.jpeg,738,2024-07-29 12:10:01,,1,['00626990162339'],False,,0.75,"['BC VQA', 'All VQA']",50TH PARALLEL ESTATE - RIESLING,,Canada,False,,2,2,WHITE,RIESLING,False,30.0, RIESLING,0.11,,False,"['On Sale', 'BC VQA']",ST,,50TH PARALLEL ESTATE ,CA,,Canada - BC White Wine,White Wine,False,False,0,23.99,01,False,,,50th parallel estate - riesling,True,2024-08-31T00:00:00.000-07:00,16,Wine,[],True,1005,1028,1079,553.5,18442.62,0.0825,302.9090909090909,0.15151515151515152
16,bcls,product,457604,1.0,818 TEQUILA - BLANCO,,,Tequila,3.0,[],True,75.99,,,2024-07-28T00:00:00.000-07:00,,"American model and media personality Kendall Jenner is behind 818 Tequila. Taste: Sweet agave and vanilla, with undertones of tropical and citrus fruit. Aroma: Lemongrass, mild floral elements, chamomile and light minerality. Body & Colour: Brilliant platinum, light body. Finish: Ultra smooth with a bright and crispy finish, notes of almond, key lime pie, and toasted coconut. What Makes It Special: Rested in oak barrels for a fresh vanilla roundness.
",2024-07-28T00:00:00.000-07:00,['On Sale'],2024-08-31T00:00:00.000-07:00,,457604,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/457604.jpeg,783,2024-07-29 12:10:01,,1,"['00195893687015', '00860006713409']",False,,0.75,[],818 TEQUILA - BLANCO,,Mexico,False,,2,2,,,False,94.0, BLANCO,0.4,,False,['On Sale'],SR,,818 TEQUILA ,MX,,Blanco/Silver Tequila,Tequila,False,False,0,71.99,,False,,,818 tequila - blanco,,2024-08-31T00:00:00.000-07:00,190,Spirits,[],True,1004,1022,1270,587.25,59500.17,0.30000000000000004,253.29999999999995,0.47474747474747475
17,bcls,product,457595,1.0,818 TEQUILA - REPOSADO,,,Tequila,3.1,[],True,85.99,,,2024-07-28T00:00:00.000-07:00,,"American model and media personality Kendall Jenner is behind 818 Tequila. Taste: Ripe roasted agave flavour with notes of caramel and vanilla. Aroma: Vanilla, meringue, honey, and fruit accents. Body & Colour: Straw colour with golden hues and medium body. Finish: Smooth caramel finish with notes of sweet cooked agave and pecan pie. What Makes It Special: Aged in French and American oak barrels for a minimum of two months.
",2024-07-28T00:00:00.000-07:00,['On Sale'],2024-08-31T00:00:00.000-07:00,,457595,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/457595.jpeg,784,2024-07-29 12:10:01,,1,"['00195893031092', '00860006713423']",False,,0.75,[],818 TEQUILA - REPOSADO,,Mexico,False,,2,2,,,False,99.0, REPOSADO,0.4,,False,['On Sale'],SR,,818 TEQUILA ,MX,,Gold Tequila,Tequila,False,False,0,80.99,,False,,,818 tequila - reposado,,2024-08-31T00:00:00.000-07:00,177,Spirits,[],True,1004,1022,1272,588.0,67416.15999999999,0.30000000000000004,286.63333333333327,0.5
18,bcls,product,163036,1.0,99 BANANAS - BANANA SCHNAPPS LIQUEUR,,,Liqueurs,4.3,[],,2.29,,,,,"99 Bananas is a 99-proof banana-flavoured schnapps, hence the name. Sweet and fruity, it is a fun addition to tropical drinks.
",,[],,,163036,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/163036.jpeg,22840,2024-07-29 12:10:01,,1,['00080660620992'],False,,0.05,[],99 BANANAS - BANANA SCHNAPPS LIQUEUR,,Canada,False,,2,2,,,False,167.0, BANANA SCHNAPPS LIQUEUR,0.495,,False,[],SR,,99 BANANAS ,CA,,Fruit Liqueurs,Liqueurs,False,False,0,2.29,,False,,,99 bananas - banana schnapps liqueur,,,84,Spirits,[],True,1004,1019,1211,1142.0,52303.6,0.02475,92.52525252525253,0.8434343434343434
19,bcls,product,119121,1.0,99 WATERMELONS - WATERMELON SCHNAPPS LIQUEUR,,,Liqueurs,4.3,[],,2.29,,,,,"Smooth, refreshing, easy to drink, and most of all, FUN! Perfect in mixed tropical drinks.
",,['New Product'],,,119121,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/119121.jpeg,9496,2024-07-29 12:10:01,,1,['00089000991044'],False,,0.05,[],99 WATERMELONS - WATERMELON SCHNAPPS LIQUEUR,,Canada,False,,2,2,,,False,75.0, WATERMELON SCHNAPPS LIQUEUR,0.495,,False,['New Product'],SH,,99 WATERMELONS ,CA,,Fruit Liqueurs,Liqueurs,False,False,0,2.29,,True,,,99 watermelons - watermelon schnapps liqueur,,,15,Spirits,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'new', 'label': 'NEW', 'labelLengthWithoutTags': 3}]",True,1004,1019,1211,474.8,21745.84,0.02475,92.52525252525253,0.3787878787878788
20,bcls,product,106802,1.0,99 XXPRESSO - COFFEE LIQUEUR,,,Liqueurs,4.0,[],,2.29,,,,,"99 XXpresso is the perfect coffee concoction with just the right balance of sweetness.
",,[],,,106802,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/106802.jpeg,16370,2024-07-29 12:10:01,,1,['00089000992010'],False,,0.05,[],99 XXPRESSO - COFFEE LIQUEUR,,Canada,False,,2,2,,,False,139.0, COFFEE LIQUEUR,0.495,,False,[],SR,,99 XXPRESSO ,CA,,Coffee And Cocoa Liqueurs,Liqueurs,False,False,0,2.29,,False,,,99 xxpresso - coffee liqueur,,,56,Spirits,[],True,1004,1019,1209,818.5,37487.3,0.02475,92.52525252525253,0.702020202020202
21,bcls,product,20146,1.0,AALBORG TAFFEL AQUAVIT,,,Other Spirits,4.0,[],,42.99,,,,,"Double Gold, San Francisco World Spirits Competition 2021. The Danes have given it the nickname 'Red Aalborg,' but it got its real name as early as 1846, when it was launched by Isidor Henius - the man who brought Danish schnapps production up to the quality level we know today. Aalborg Taffel Akvavit is the archetype of a clear, Danish akvavit. It has a clear taste of caraway seeds, but if you close your eyes, you can sense a discreet aftertaste of orange. It goes perfectly with a piece of marinated herring served with an onion ring, cured sausage or roast pork.
",,[],,,20146,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/20146.jpeg,678,2024-07-29 12:10:01,,1,['00817469010293'],False,,0.75,[],AALBORG TAFFEL AQUAVIT,,Denmark,False,,2,2,,,False,87.0,AALBORG TAFFEL AQUAVIT,0.45,,False,[],SR,,,DK,,Flavoured Spirits,Other Spirits,False,False,0,42.99,,False,,,aalborg taffel aquavit,,,108,Spirits,[],True,1004,1020,1238,508.5,29147.22,0.3375,127.37777777777778,0.4393939393939394
22,bcls,product,773002,1.0,ABERFELDY - 12 YEAR OLD,,,Whisky,3.9,[],,74.99,,,,,"Double Gold, San Francisco World Spirits Competition 2022. A honeyed dram with notes of fruit, spices, lots of vanilla and just a hint of smoke.
",,[],,,773002,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/773002.jpeg,1196,2024-07-29 12:10:01,Highland,1,['05000277003457'],False,,0.75,[],ABERFELDY - 12 YEAR OLD,,United Kingdom,False,Scotland,2,2,,,False,186.0, 12 YEAR OLD,0.4,,False,[],SR,,ABERFELDY ,GB,,Single Malt Scotch Whisky,Whisky / Whiskey,False,False,0,74.99,,False,,,aberfeldy - 12 year old,,,606,Spirits,[],True,1004,1024,1289,897.0,89688.04,0.30000000000000004,249.9666666666666,0.9393939393939394
23,bcls,product,661884,1.0,ABERFELDY - 21 YEAR OLD,,,Whisky,4.0,[],,320.0,,,,,"98 Points, International Wine & Spirit Competition 2022: ""Creamy and indulgent with hints of vanilla tart, sweet dried fruit and fresh pastry on the nose. Smoky and intriguing on the palate, revealing complex layers of raisin, date and dried fig. An attractive style, and extremely enjoyable.""
",,[],,,661884,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/661884.jpeg,131,2024-07-29 12:10:01,Highland,1,['05000277003587'],False,,0.75,[],ABERFELDY - 21 YEAR OLD,,United Kingdom,False,Scotland,2,2,,,False,33.0, 21 YEAR OLD,0.4,,False,[],SH,,ABERFELDY ,GB,,Single Malt Scotch Whisky,Whisky / Whiskey,False,False,0,320.0,,False,,,aberfeldy - 21 year old,,,207,Spirits,[],True,1004,1024,1289,98.25,41920.0,0.30000000000000004,1066.6666666666665,0.16666666666666666
24,bcls,product,922658,1.0,ABERLOUR - 12 YEAR OLD DOUBLE CASK MATURED,,,Whisky,3.9,[],True,85.99,,,2024-07-28T00:00:00.000-07:00,,"97 Points, Wine Enthusiast - ""Aged in oak and former Sherry casks, this enticing Scotch has a ripe red-apple scent and rich salted caramel and butterscotch on the palate. It's powerful, with a thick, buttery feel and a long finish of lip-smacking spice cake and sea brine notes."" (December 2015)
",2024-07-28T00:00:00.000-07:00,['On Sale'],2024-08-31T00:00:00.000-07:00,,922658,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/922658.jpeg,1310,2024-07-29 12:10:01,Speyside,1,"['05000299298145', '05000299298459', '00080432102145', '00080432102138', '03047100017849']",False,,0.75,[],ABERLOUR - 12 YEAR OLD DOUBLE CASK MATURED,,United Kingdom,False,Scotland,2,2,,,False,198.0, 12 YEAR OLD DOUBLE CASK MATURED,0.4,,False,['On Sale'],G,,ABERLOUR ,GB,,Single Malt Scotch Whisky,Whisky / Whiskey,False,False,0,81.99,,False,,,aberlour - 12 year old double cask matured,,2024-08-31T00:00:00.000-07:00,483,Spirits,[],True,1004,1024,1289,982.5,112646.9,0.30000000000000004,286.63333333333327,1.0
25,bcls,product,430470,1.0,ABERLOUR - 16 YEAR OLD,,,Whisky,3.4,[],,109.99,,,,,"With the depth and complexity that comes from being matured for 16 years in a combination of American oak casks and the finest sherry butts, this expression’s warm and fruity notes are enriched by an engagingly spicy sweetness.
Gold, San Francisco World Spirits Competition 2022
",,[],,,430470,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/430470.jpeg,197,2024-07-29 12:10:01,Speyside,1,"['05000299298466', '00080432102169']",False,,0.75,[],ABERLOUR - 16 YEAR OLD,,United Kingdom,False,Scotland,2,2,,,False,22.0, 16 YEAR OLD,0.4,,False,[],SM,,ABERLOUR ,GB,,Single Malt Scotch Whisky,Whisky / Whiskey,False,False,0,109.99,,False,,,aberlour - 16 year old,,,114,Spirits,[],True,1004,1024,1289,147.75,21668.03,0.30000000000000004,366.63333333333327,0.1111111111111111
